Petition Department,Petition Description,Status,
Women & Child Welfare,Sexual harassment in religious institutions and spiritual centers often goes unreported due to social pressure and fear of community backlash.,Urgent,2064
Education Department,Ensure proper waste management in hostel surroundings ,Important,1635
Education Department,Limited school-based volunteering programs.,Important,2222
Education Department,Frequent power fluctuations damaging school computers and digital boards.,Urgent,236
Women & Child Welfare,Ensure a safe and harassment-free school environment ,Urgent,622
Women & Child Welfare,"Sexual offenders often go unpunished due to lack of evidence or witnesses, discouraging women from filing complaints in the future.",Urgent,965
Women & Child Welfare,"Many legal cases related to women’s safety take years to resolve, leaving victims in distress and perpetrators free.",Urgent,2117
Education Department,"Poor handwriting improvement programs in early Education Department stages hinder students from developing legible writing skills, which are essential for effective academic communication.",Important,2339
Women & Child Welfare,Need for better legal assistance for women in distress ,Urgent,2150
Education Department,"Many students face delays in receiving textbooks due to procurement issues, affecting their ability to study and complete assignments. Without timely access, they struggle to keep up with the curriculum.",Important,798
Education Department,"Schools conducting extra exams without prior notification, causing unnecessary stress and affecting students' preparation schedules.",Urgent,2192
Education Department,Scheduling extra classes on weekends without students’ consent encroaches upon their personal time and leads to significant stress and burnout.,Urgent,1463
